mi1mg1,name1,team2,name2,team3,name3,team4,name4,itemcode,mi1mlb,BrandNameDescr
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111010,Bόειο Πλάτη-Μπούτι-Μεγάλα κομμάτια νωπά,3568433,σπάλα α/ο βόειου ν/ζ Γαλλίας το κιλό,NO BRAND
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,0067439,ΣΥΚΩΤΙΑ ΒΟΕΙΟΥ ΝΕΑΡΟΥ ΖΩΟΥ ΓΕΡΜΑΝΙΑΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,0348144,σπάλα α/ο βόειου ν/ζ Γερμανίας το κιλό,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,0348169,τράχηλος ελιά βoειου νεαρού ζώου γερμανίας το κιλό,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,0419242,ΚΙΜΑΣ ΒΟΕΙΟΥ ΝΕΑΡΟΥ ΖΩΟΥ ΓΕΡΜΑΝΙΑΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,0481606,ΓΛΩΣΣΕΣ ΒΟΕΙΟΥ ΝΕΑΡΟΥ ΖΩΟΥ ΓΕΡΜΑΝΙΑΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,1204486,ΝΟΥΑ ΒΟΕΙΟ ΑΝΕΥ ΟΣΤΟΥ ΕΛΛΗΝΙΚΗΣ ΕΚΤΡΟΦΗΣ 5ΜΗΝΩΝ ΓΑΛΛΙΑΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,1204544,ΚΙΛΟΤΟ ΒΟΕΙΟ ΑΝΕΥ ΟΣΤΟΥ ΕΛΛΗΝΙΚΟ ΕΚΤΡΟΦΗΣ 5ΜΗΝΩΝ ΓΑΛΛΙΑΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,1204577,ΠΟΝΤΙΚΙ ΒΟΕΙΟ ΑΝΕΥ ΟΣΤΟΥ ΕΛΛΗΝΙΚΗΣ ΕΚΤΡΟΦΗΣ 5ΜΗΝΩΝ ΓΑΛΛΙΑΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,1204585,ΚΙΜΑΣ ΒΟΕΙΟΣ ΕΛΛΗΝΙΚΗΣ ΕΚΤΡΟΦΗΣ 5ΜΗΝΩΝ ΓΑΛΛΙΑΣ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,1204601,ΣΠΑΛΟΜΠΡΙΖΟΛΑ ΒΟΕΙΟΥ ΑΝΕΥ ΟΣΤΟΥ ΕΛΛΗΝΙΚΗΣ ΕΚΤΡΟΦΗΣ>5ΜΗΝΩΝ ΓΑΛΛΙΑΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,1204627,ΤΡΑΧΗΛΟΣ ΒΟΕΙ ΑΝΕΥ ΟΣΤΟΥ ΕΛΛΗΝΙΚΗΣ ΕΚΤΡΟΦΗΣ>5ΜΗΝΩΝ ΓΑΛΛΙΑΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,1204643,ΣΠΑΛΑ ΒΟΕΙΟ ΑΝΕΥ ΟΣΤΟΥ ΕΛΛΗΝΙΚΟ ΕΚΤΡΟΦΗΣ 5ΜΗΝΩΝ ΓΑΛΛΙΑΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111020,Παραπροιόντα βόειου νωπά,2335685,ΑΝΑΜΕΙΚΤΟΣ ΚΙΜΑΣ ΒΟΕΙΟΥ ΕΛΛΗΝΙΚΗΣ ΕΚΤΡΟΦΗΣ >5ΜΗΝΩΝ ΓΑΛΛΙΑΣ 50% ΧΟΙΡΙΝO ΕΛΛΗΝΙΚΟ ΚΡΕΟΠΩΛΕΙΟΥ 50%,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111040,Παρασκευάσματα βόειου νωπά,0370148,ΜΠΙΦΤΕΚΙ ΝΩΠΟ ΒΟΕΙΟΥ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111040,Παρασκευάσματα βόειου νωπά,3325594,ΒΟΕΙΟ ΚΡΑΣΑΤΟ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111040,Παρασκευάσματα βόειου νωπά,3325602,ΚΕΜΠΑΠΑΚΙ ΑΝΑΤΟΛΗΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011110,ΒΟΕΙΟ ΝΩΠΟ,01111050,Παρασκευάσματα βόειου νωπά συσκ,3593597,ΚΕΜΠΑΠ BIG ΕΛΛΗΝΙΚΗΣ ΕΠΕΞΕΡΓΑΣΙΑΣ ΝΑΝΟΣ ΚΡΕΟΠΩΛΕΙΟΥ,NO BRAND
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011130,ΧΟΙΡΙΝΟ ΝΩΠΟ,01113020,Παραπροιόντα χοιρινού νωπά,0343012,ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ ΜΕ ΟΣΤΟ ΕΛΛΗΝΙΚΗ ΚΡΕΟΠΩΛΕΙΟΥ,NO BRAND
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011130,ΧΟΙΡΙΝΟ ΝΩΠΟ,01113020,Παραπροιόντα χοιρινού νωπά,0343020,ΣΠΑΛΕΣ ΧΟΙΡΙΝΕΣ Μ/Ο ΕΛΛΗΝΙΚΕΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011130,ΧΟΙΡΙΝΟ ΝΩΠΟ,01113020,Παραπροιόντα χοιρινού νωπά,0343038,μπούτι χοιρινό μ/ο ελληνικό το κιλό,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011130,ΧΟΙΡΙΝΟ ΝΩΠΟ,01113020,Παραπροιόντα χοιρινού νωπά,0348078,ΧΟΙΡΙΝΗ ΠΑΝΣΕΤΑ ΕΛΛΗΝΙΚΗ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011130,ΧΟΙΡΙΝΟ ΝΩΠΟ,01113020,Παραπροιόντα χοιρινού νωπά,0350132,ΣΠΑΛΕΣ ΧΟΙΡΙΝΕΣ ΑΝΕΥ ΟΣΤΟΥ ΕΛΛΗΝΙΚΕΣ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011130,ΧΟΙΡΙΝΟ ΝΩΠΟ,01113020,Παραπροιόντα χοιρινού νωπά,0352203,ΜΠΟΥΤΙ ΧΟΙΡΙΝΟ ΑΝΕΥ ΟΣΤΟΥ ΕΛΛΗΝΙΚΟ ΚΡΕΟΠΩΛΕΙΟΥ,
01,ΦΡΕΣΚΑ ΠΡΟΙΟΝΤΑ,0111,ΚΡΕΟΠΩΛΕΙΟ,011130,ΧΟΙΡΙΝΟ ΝΩΠΟ,01113020,Παραπροιόντα χοιρινού νωπά,0379883,ΛΑΙΜΟΣ ΧΟΙΡΙΝΟΣ ΜΕ ΟΣΤΟ ΕΛΛΗΝΙΚΟΣ ΚΡΕΟΠΩΛΕΙΟΥ,
